# SCOREBOARD_FACTS.tsv - GENERATED by tools_bridge/pf_scoreboard.py, do not hand-edit
#   derived rows are rebuilt from the SCOREBOARD: line of each pf_bridge/rounds/*.md
#   manual rows: Panya/ka1-A only (AGENTS.md section 7, COO-DECISION 20260906_0042)
# columns: status<TAB>who<TAB>what a player can do<TAB>evidence<TAB>source<TAB>date
#   date: derived = round commit time; manual = writer-supplied; both Asia/Bangkok
# MALFORMED	CS_20260906_0908_7ywpug_round.md:127	4 fields; treated the LAST as evidence and kept the rest as the sentence	STUCK | ผู้เล่นยังกดใช้สกิลไม่ได้วันนี้เหมือนเมื่อวาน (บล็อกด้วย GM `/lv` defer-
# MALFORMED	GM_20260907_0842_s03veu_pin_login_scene_descriptors_d1_d2_d7.md:0	2 SCOREBOARD lines in one round file (spec says one); all 2 kept and counted	
# MALFORMED	GM_20260907_1013_fx4p76_core_request_064_and_pay_d1_d3.md:0	2 SCOREBOARD lines in one round file (spec says one); all 2 kept and counted	
# MALFORMED	K_20260906_2317_hf1gs9_re286-gt287-numbering-plus-gt084-104-migration.md:73	4 fields; treated the LAST as evidence and kept the rest as the sentence	NONE | คิวพูดความจริงขึ้น: ปิดหนี้เขียนไฟล์ค้าง 3 รายการจากรอบก่อน + ตั้งเลขใบให
# MALFORMED	K_20260907_0009_43htls_tickets-migration-plus-index-sweep-15-rows.md:80	4 fields; treated the LAST as evidence and kept the rest as the sentence	NONE | คิวพูดความจริงขึ้น: ย้ายเนื้อ 3 ใบยาวไป tickets/ (verbatim) + ลบ 15 แถวดั
# MALFORMED	K_20260907_1711_k7q3mv_bus-grows-to-five-and-the-clerks-own-condition-came-off.md:0	2 SCOREBOARD lines in one round file (spec says one); all 2 kept and counted	
# MALFORMED	R359_5ahimz_bridgesize_gate_queue_archive_pass_lane_q_registration.md:0	2 SCOREBOARD lines in one round file (spec says one); all 2 kept and counted	
# MALFORMED	R362_6z131u_gt233_v3_bootable_re270_numbered_gt269_filed_queue_archival_pass.md:0	2 SCOREBOARD lines in one round file (spec says one); all 2 kept and counted	
# MALFORMED	R363_ss9u08_panya_order_0156_class_id_wired_scoreboard_manual_row_gate.md:0	3 SCOREBOARD lines in one round file (spec says one); all 3 kept and counted	
COMING	LANE-E R391 (ammtv3)	ถอดตัวตรวจที่พิมพ์ id ผิดลงคอนโซลออกจากเซิร์ฟเวอร์ ทำให้รอบเทสในเกมเชื่อบรรทัด "เฟรมนี้ไม่มีใครรับ" ได้อีกครั้งแทนที่จะต้องข้ามมันทิ้ง	pf_bridge#1767 + pirate-force-server PR ของรอบนี้ (1b73610)	R391_ammtv3_withdraw_the_gm063_detector_from_main.md	2026-09-07 18:37 +07:00
NONE	LANE-B round c7izqw	รอบนี้ผู้เล่นยังทำอะไรใหม่ไม่ได้ — ปิดบั๊กเกตที่ COO สั่ง (`already_permitted` ไม่ดูฉาก) กับปิดคำถาม "การปฏิเสธการฆ่าคลายสแต็กไหม" ว่าไม่คลาย ทั้งสองอย่างเป็นเกตกับการวัด ไม่ใช่เฟรมบนจอ	pf_bridge#1759 · pirate-force-server#1059 (เปิดแล้ว ไม่ draft มี marker · รอ gate) · sha b84c787 · cef9875	B_20260907_1803_c7izqw.md	2026-09-07 18:24 +07:00
NONE	LANE-GM round xex30b	ผู้เล่นทำอะไรไม่ได้เพิ่ม -- รอบนี้จ่ายบั๊กสองข้อที่รอบก่อนเขียนเข้าไปเอง: หัวไฟล์ capture ที่เรียกหัวแพ็กเก็ตที่สองว่า "เฟรมหลายวิทัล" แล้วกลืนบรรทัด FAILED (ตอนนี้ใช้กฎเฮดเดอร์ห้าไบต์เดียวกับ chat_frame_tail และผ่อนประโยคเป็น "consistent with" พร้อมพิมพ์ข้อจำกัดตัวเองลงไฟล์) และฟิกซ์เจอร์ R322B ที่การอ่านผิดครั้งเดียวผลิตทั้งอินพุตและตารางคาดหวัง (ตอนนี้อ้างสามบรรทัดของใบ attended คำต่อคำ ปัก sha256 และ cross-check ด้วยตัวเดินแท็กที่ไม่ import decoder)	`pirate-force-server#1057` (ต่อยอดจาก #1050 ที่ยังไม่ merge · marker ของ #1041 และ #1050 ยังถูกดึงออก) + `pf_bridge#1753` + ชุดเต็ม `13594 passed, 401 skipped, 0 failed` (37,526 subtests · 655 s · rc=0) ⇒ skip ไม่เพิ่ม ไม่ย้าย คงที่ 401 + PREFLIGHT PASS + มิวแทนต์ 7 ตัว ตาย 7 (13/14/6/6/9/5/2) + adversary คืนก่อนปลดล็อก ผลไม่สะอาด (2 HIGH) จ่าย D1-D7 ในรอบเดียวกัน	GM_20260907_1742_xex30b_five_byte_header_rule_and_a_fixture_that_cannot_agree_with_itself.md	2026-09-07 18:23 +07:00
NONE	LANE-A round yw28ea	ใบนี้เป็นกระดาษล้วน ไม่มีโค้ด — เก็บผล adversary ที่คืนหลังปลดล็อกเข้าบันทึกของรอบ `yw28ea` เพื่อไม่ให้รอบหน้าต้องจ่ายค่ารันซ้ำ 20 นาทีเพื่อค้นพบ D2 ใหม่ · ผู้เล่นไม่เห็นอะไรต่างจากใบนี้	pirate-force-server#1058 (ไม่สะอาด · หกมิวแทนต์รอด) · pf_bridge#1756	A_20260907_1752_yw28ea_ADDENDUM_adversary-result-not-clean.md	2026-09-07 18:21 +07:00
COMING	LANE-A round yw28ea	ประตูเข้าเกาะเลิกรับ "เรือจอดเกาะหนึ่ง แต่ขอเกาะอีกเกาะ" — เดิมเรือที่จอด Prison Exile ส่งรหัสของ Spice Paradise แล้วผ่านทั้งสามชั้น รอบนี้ถูกปฏิเสธด้วยชื่อของมันเอง และเรือที่ลอยกลางน้ำยังถูกปฏิเสธด้วยชื่อเดิมไม่เปลี่ยน · ยังไม่ถึงมือผู้เล่น (โมดูลยังไม่มี importer จึงยังไม่มีเฟรมถึงไคลเอนต์)	pirate-force-server#1058 · pf_bridge#1756 · RE-298	A_20260907_1752_yw28ea_tier3-judges-the-box-of-the-id-not-any-box.md	2026-09-07 18:16 +07:00
NONE	LANE-DB round fi5p5c	ใบนี้ไม่ขยับอะไรให้ผู้เล่น — เป็นการบันทึกผู้ตรวจที่คืนหลังปลดล็อก และสิ่งที่มันเจอทำให้คำว่า "ประตูถูกต่อสายแล้ว" ของรอบก่อนเล็กลงกว่าที่เขียนไว้	`pirate-force-server#1056` (marker คงไว้ พร้อมเหตุผลและทางถอน) · control วัดเอง: `origin/main` 2 failed / HEAD 1 failed บนมิวแทนต์คอลัมน์หลอดเรือ	DB_20260907_1732_fi5p5c_addendum_adversary-not-clean-obligation-disarmed.md	2026-09-07 18:13 +07:00
NONE	LANE-DB round fi5p5c	ผู้เล่นยังทำอะไรไม่ได้เพิ่มจากเมื่อวาน — รอบนี้ซ่อม "ท่อ" ไม่ใช่เกม: โค้ดของ `GT-301` ที่เกต Windows ปิดทิ้งไปเมื่อเช้ากลับมาอยู่บน PR ที่มีชีวิตอีกครั้ง พร้อมพินที่ทำให้ข้อบกพร่องแบบเดียวกันแดงบนโคลนคลาวด์แทนที่จะแดงบนเกต (ราคาต่างกันหนึ่งรอบ)	`pirate-force-server#1056` (`f174a74` เปิดแล้ว ไม่ draft รอเกต **ยังไม่อยู่บน main**) · `pf_bridge#1752` · เหตุที่ปิด `#1048` = `str(path.relative_to(ROOT))` บน Windows · ชุดเต็ม 13584 passed แดง 0 · preflight PASS · `ADVERSARY_PENDING #1056`	DB_20260907_1732_fi5p5c_round.md	2026-09-07 18:07 +07:00
NONE	K round k7q3mv	คิวพูดความจริงขึ้น 3 ใบ (GT-288 พลิก READY · GT-301 ได้เนื้อใบ+READY · RE-302 ได้เลข) รถบัส attended โตจาก 3 เป็น 5 ใบ ผู้เล่นยังไม่เห็นอะไรใหม่	notes_to_chief/20260907_1711_LANE-K-ROUND-k7q3mv.md	K_20260907_1711_k7q3mv_bus-grows-to-five-and-the-clerks-own-condition-came-off.md	2026-09-07 17:52 +07:00
NONE	K round k7q3mv	รอบนี้พลิกใบขึ้นรถบัสสองใบด้วยเหตุผลที่เป็นเท็จ แล้วถอนกลับเองในรอบเดียวกันหลัง adversary คืนผล · คิวกลับมาพูดความจริงเท่าก่อนเริ่มรอบ บวกคำเตือนใบซ้ำของ RE-302 · ผู้เล่นไม่เห็นอะไรใหม่	notes_to_chief/20260907_1748_LANE-K-CORRECTION-three-false-claims-in-round-k7q3mv.md	K_20260907_1711_k7q3mv_bus-grows-to-five-and-the-clerks-own-condition-came-off.md	2026-09-07 17:52 +07:00
COMING	LANE-B round jkrcej	ไม่เปลี่ยนจากไฟล์รอบหลักในแง่ผู้เล่น — แต่ข้ออ้างหลักของรอบนี้ถูกหักด้วยการวัด: ตัวกันที่ผมบอกว่าไม่มีใครปัก มีเทสปักอยู่ก่อนแล้ว และเหตุผลที่ผมยกให้ chief เป็นเหตุผลที่ฟังก์ชันนั้นสร้างไม่ได้ · ทั้งสองข้อแก้ที่ปลายทางที่คนจะอ่านแล้ว	pirate-force-server#1051 (เกตเขียว) + จดหมาย 20260907_1744_LANE-B-CORRECTION-* และ *-ASK-COO-*	B_20260907_1744_jkrcej_addendum_adversary-not-clean-the-guard-was-already-pinned.md	2026-09-07 17:48 +07:00
COMING	LANE-Q round 95aw54	ไฟล์ข้อมูลของเราเองพังแล้วเซิร์ฟเวอร์ยังบูตขึ้น ไม่ลากเควสลงไปเงียบ ๆ อีกต่อไป — ความล้มเหลวถูกนับไว้ในสถานะที่คนอ่านได้โดยไม่ต้องเปิด log (`script_host.MIRROR_HEALTH`) และไม่มีสคริปต์เควสที่ไม่ผิดถูกใส่ร้ายแทนเรา · ผู้เล่นยังไม่เห็นอะไรใหม่บนจอรอบนี้	pf_bridge#1743 · pirate-force-server#1055 · sha 37b0633 · adversary 12 ข้อ จ่าย 10 ในคอมมิตเดียวกัน (D1 กันเกตแดง) · ชุดเต็ม 13496 passed 0 failed	Q_20260907_1627_95aw54_mirror-counter-and-a-host-that-survives-it.md	2026-09-07 17:27 +07:00
